"Owners","LicenseNumber","BusinessName","Status","IssueDate","RenewDate","ExpireDate","HasTelemedicine","PhysicalCity","PhysicalCountry","PhysicalLine1","PhysicalLine2","PhysicalState","PhysicalZip","PhysicalZipPlus","MailingCity","MailingCountry","MailingLine1","MailingLine2","MailingState","MailingZip","MailingZipPlus"
"PETER R. EHRHARDT, ATTORNEY AT LAW, INC.",1064556,"PETER EHRHARDT, ATTORNEY AT LAW","Active",1/4/2018 11:56:50 AM,10/11/2024,12/31/2026,"No","Kenai","UNITED STATES","215 Fidalgo Ave, Suite 201","9072832876","AK","99611","9876","KENAI","UNITED STATES","215 FIDALGO SUITE 201",,"AK","99611","9876"
"PATRICK  TIERNEY",1064566,"POW SILVICULTURE","Active",1/4/2018 12:31:04 PM,12/17/2025,12/31/2027,"No","Thorne Bay","UNITED STATES","920 Rainy Lane #19484",,"AK","99919",,"THORNE BAY","UNITED STATES","PO BOX 19230",,"AK","99919",
"THE TUFTED PUFFIN LLC",1064577,"THE TUFTED PUFFIN LLC","Active",1/4/2018 1:57:40 PM,12/26/2025,12/31/2026,"No","Seward","UNITED STATES","216 Fourth Ave. Unit# 2",,"AK","99664",,"SEWARD","UNITED STATES","PO BOX  1934",,"AK","99664",
"ALASKA BEDLINERS LLC",1064579,"ALASKA BEDLINERS LLC","Active",1/4/2018 2:08:41 PM,12/3/2024,12/31/2026,"No","WASILLA","UNITED STATES","617 S. KNIK GOOSE BAY RD STE K",,"AK","99654","9010","WASILLA","UNITED STATES","617 S. KNIK GOOSE BAY RD STE K",,"AK","99654","9010"
"DRENNON PROPERTY HOLDINGS NORTH, LLC",1064581,"DRENNON PROPERTY HOLDINGS NORTH, LLC","Active",1/4/2018 2:11:26 PM,12/4/2025,12/31/2027,"No","FAIRBANKS","UNITED STATES","3301 INDUSTRIAL AVENUE",,"AK","99701",,"FAIRBANKS","UNITED STATES","P.O. BOX 80221",,"AK","99708",
"KENAI PENINSULA ATHLETIC CLUB, INC",1064582,"KENAI PENINSULA ATHLETIC CLUB, INC","Active",1/4/2018,12/17/2025,12/31/2026,"No","Anchorage","UNITED STATES","8936 Lake Otis Parkway","Suite 1","AK","99507",,"Anchorage","UNITED STATES","P.O. Box 231711",,"AK","99523","1711"
"GOLDEN SPUR INVESTMENTS, LLC",1064594,"GOLDENSPUR PROPERTIES","Active",1/4/2018,1/27/2026,12/31/2027,"No","ANCHORAGE","UNITED STATES","7500 OLD SEWARD HWY STE B",,"AK","99518",,"ANCHORAGE","UNITED STATES","7500 OLD SEWARD HWY STE B",,"AK","99518",
"ALASKA PREMIER AUCTIONS AND APPRAISALS LLC",1064595,"ALASKA PREMIER AUCTIONS AND APPRAISALS LLC","Active",1/4/2018,10/28/2025,12/31/2027,"No","Anchorage","UNITED STATES","325 West Potter Drive",,"AK","99518",,"Anchorage","UNITED STATES","325 West Potter Drive",,"AK","99518",
"VALLEY PUMP & WELL SERVICE LLC",1064598,"VALLEY PUMP & WELL SERVICE LLC","Active",1/4/2018,11/14/2025,12/31/2027,"No","WASILLA","UNITED STATES","2200 W SUCCESS DR",,"AK","99654",,"WASILLA","UNITED STATES","2200 W SUCCESS DR",,"AK","99654",
"SKUNKWORX LLC",1064603,"SKUNKWORX LLC","Active",1/4/2018 4:41:03 PM,10/7/2025,12/31/2027,"No","WASILLA","UNITED STATES","7102 S. MEYERS CIR.",,"AK","99654",,"WASILLA","UNITED STATES","P.O. BOX 871367",,"AK","99687","1367"
"DOUGLAS  FIELD",1064606,"LLAMA HILL FARM OF  NATURAL YARNS","Active",1/4/2018 5:20:38 PM,10/11/2025,12/31/2026,"No","SOLDOTNA","UNITED STATES","48222 SAVANNAHBELLA CT",,"AK","99669","9194","SOLDOTNA","UNITED STATES","48222 SAVANNAHBELLA CT",,"AK","99669","9194"
"SUSAN  RAJEK",1064609,"SUSITNA TREASURES","Active",1/4/2018,11/3/2025,12/31/2026,"No","EAGLE RIVER","UNITED STATES","18000 TEKLANIKA DRIVE",,"AK","99577",,"EAGLE RIVER","UNITED STATES","18000 TEKLANIKA DRIVE",,"AK","99577",
"ARCTIC NATURE PROPERTIES, LLC",1064610,"ARCTIC NATURE PROPERTIES","Active",1/4/2018 8:52:36 PM,12/21/2025,12/31/2026,"No","ANCHORAGE","UNITED STATES","7636 ARCTIC BLVD","Unit 4","AK","99518","2632","Anchorage","UNITED STATES","7636 Arctic Blvd","Unit 4","AK","99518","2362"
"AMY NEWMAN",1064613,"AMY NEWMAN, WRITER","Active",1/4/2018 10:43:55 PM,11/26/2024,12/31/2026,"No","ANCHORAGE","UNITED STATES","3053 BETTLES BAY LOOP",,"AK","99515",,"ANCHORAGE","UNITED STATES","3053 BETTLES BAY LOOP",,"AK","99515",
"PRIMPING POOCHES & CATS LLC",1064624,"PRIMPING POOCHES & CATS LLC","Active",1/5/2018 8:54:14 AM,12/25/2025,12/31/2027,"No","ANCHORAGE","UNITED STATES","12870 OLD SEWARD HWY","STE 106","AK","99515",,"ANCHORAGE","UNITED STATES","801 VALLEY STREET",,"AK","99504",
"ZIP KOMBUCHA LLC",1064628,"ZIP KOMBUCHA LLC","Active",1/5/2018 9:32:53 AM,10/6/2025,12/31/2026,"No","ANCHORAGE","UNITED STATES","8161 Schoon St.",,"AK","99518",,"ANCHORAGE","UNITED STATES","8161 Schoon St.",,"AK","99518",
"JADIN TECH, LLC",1064631,"JADIN TECH, LLC","Active",1/5/2018,12/31/2025,12/31/2027,"No","ANCHORAGE","UNITED STATES","1400 W BENSON BLVD.","STE 502","AK","99503",,"ANCHORAGE","UNITED STATES","1400 W BENSON BLVD.","STE 502","AK","99503",
"REBECCA LOPEZ",1064637,"LOVE SCRAPS BY LOPEZ'S SPECIAL","Active",1/5/2018 11:02:59 AM,1/31/2025,12/31/2026,"No","Wasilla","UNITED STATES","320 N Lucille St","Unit A","AK","99654",,"WASILLA","UNITED STATES","PO BOX 873726",,"AK","99687",
"DRENNON PROPERTY HOLDINGS SOUTH, LLC",1064638,"DRENNON PROPERTY HOLDINGS SOUTH, LLC","Active",1/5/2018 11:07:47 AM,12/4/2025,12/31/2027,"No","FAIRBANKS","UNITED STATES","3301 INDUSTRIAL AVENUE",,"AK","99701",,"FAIRBANKS","UNITED STATES","P.O. BOX 80221",,"AK","99708",
"STEVE TATE; TINA COX-COLE; ROBERT WALKOTTE;",1064639,"FAIRBANKS SPORTS OFFICIALS","Active",1/5/2018 11:28:52 AM,12/23/2025,12/31/2027,"No","NORTH POLE","UNITED STATES","2716 BEECH DR",,"AK","99705",,"FAIRBANKS","UNITED STATES","PO BOX 85196",,"AK","99708",
"CARLENE  THAYER",1064646,"BERING SEA DESIGNS","Active",1/5/2018,12/19/2024,12/31/2026,"No","JUNEAU","UNITED STATES","17245 ANDREANOFF DR",,"AK","99801",,"JUNEAU","UNITED STATES","PO BOX 33354",,"AK","99803",
"GATEWAY CHRISTIAN FELLOWSHIP",1064648,"SOPHIA'S CAFE","Active",1/5/2018,11/4/2024,12/31/2026,"No","Palmer","UNITED STATES","9191 East Frontage RD., New Hope Street","9078411323","AK","99645",,"PALMER","UNITED STATES","9191 E. FRONTAGE ROAD",,"AK","99645",
"GOLDSTREAM APPLIANCE & PROPERTY SERVICES, LLC",1064651,"GOLDSTREAM APPLIANCE REPAIR","Active",1/5/2018 12:46:48 PM,1/2/2026,12/31/2027,"No","Fairbanks","UNITED STATES","1209 Shypoke Drive","9077507510","AK","99707",,"FAIRBANKS","UNITED STATES","PO BOX 750416",,"AK","99775","0416"
"DOWNTOWN BICYCLE RENTAL, INC.",1064658,"FLATTOP MOUNTAIN SHUTTLE","Active",1/5/2018 1:41:14 PM,12/17/2024,12/31/2026,"No","ANCHORAGE","UNITED STATES","333 W 4TH AVENUE, ",,"AK","99501","9334","ANCHORAGE","UNITED STATES","333 W 4TH AVENUE, ",,"AK","99501","9334"
"DAVID  GIFFORD",1064663,"TAELA ROSE EQUIPMENT AND SERVICES","Active",1/5/2018 1:57:08 PM,12/3/2025,12/31/2027,"No","PORT ALEXANDER","UNITED STATES","#11 WATER ST",,"AK","99836","8125","PORT ALEXANDER","UNITED STATES","P.O. BOX 8125",,"AK","99836","8125"
"ATFAK-ANC1, LLC",1064666,"ANYTIME FITNESS ANCHORAGE, LAKE OTIS","Active",1/5/2018 2:33:17 PM,12/17/2025,12/31/2026,"No","ANCHORAGE","UNITED STATES","8936 LAKE OTIS PARKWAY","SUITE 1","AK","99507",,"ANCHORAGE","UNITED STATES","P.O. Box 231711",,"AK","99523","1711"
"BRADFORD W. FENTON, LLC",1064674,"BRADFORD W. FENTON, LLC","Active",12/22/2017,10/7/2025,12/31/2027,"Yes","ANCHORAGE","UNITED STATES","11700 WOODBOURNE DR",,"AK","99516",,"Anchorage","UNITED STATES","9500 Independence Dr","Ste 900","AK","99507",
"SCOTT  MONTALBO",1064675,"DENALI APPRAISAL COMPANY","Active",1/5/2018,11/26/2024,12/31/2026,"No","Anchorage","UNITED STATES","3300 CARESS CIR",,"AK","99507",,"ANCHORAGE","UNITED STATES","3300 CARESS CIRCLE",,"AK","99507",
"F/V MISS MARY LLC",1064696,"F/V MISS MARY LLC","Active",1/5/2018 7:33:38 PM,11/4/2025,12/31/2027,"No","Ketchikan","UNITED STATES","45 south point higgins rd ",,"AK","99901",,"KETCHIKAN","UNITED STATES","PO BOX 23007",,"AK","99901",
"JAMES PETERSON",1064712,"ARCTIC CHICKEN COOPS BY J AND J FARMS","Active",1/6/2018 12:13:34 PM,3/14/2025,12/31/2026,"No","ANCHORAGE","UNITED STATES","5901 Arctic Blvd. Suite K",,"AK","99518",,"Wasilla","UNITED STATES","4550 S. Harness St",,"AK","99654",
"AMY  SWEENEY",1064716,"CLOUDBREAK ARTWORKS BY AMY SWEENEY","Active",1/6/2018 12:47:27 PM,10/15/2024,12/31/2026,"No","Sitka","UNITED STATES","500 Charteris St",,"AK","99835",,"SITKA","UNITED STATES","500 CHARTERIS STREET",".","AK","99835",
"MELISSA  JENSEN",1064736,"MOOSEWOOD ACRES FARM","Active",1/6/2018 9:48:41 PM,1/26/2026,12/31/2027,"No","Palmer","UNITED STATES","3250 North Eves Drive","4352243133","AK","99645",,"PALMER","UNITED STATES","3250 N. EVES DRIVE",,"AK","99645",
"LACEY MILLER",1064739,"LITTLE LOVES CHILD CARE & LEARNING CENTER","Active",1/7/2018 9:34:36 AM,10/26/2024,12/31/2026,"No","NORTH POLE","UNITED STATES","2374 TIMBERPARK LOOP",,"AK","99705",,"NORTH POLE","UNITED STATES","2374 TIMBERPARK LOOP",,"AK","99705",
"TALKEETNA TRADITIONS LLC",1064741,"TALKEETNA TRADITIONS LLC","Active",1/7/2018 12:13:00 PM,1/10/2026,12/31/2026,"No","WILLOW","UNITED STATES","41010 S PARKS HWY","9073540884","AK","99688","3884","WILLOW","UNITED STATES","HC 89 BOX 610","9073540884","AK","99688","9884"
"SALT HOLDINGS, LLC",1064742,"SALT HOLDINGS, LLC","Active",1/7/2018,2/24/2026,12/31/2026,"No","JUNEAU","UNITED STATES","5410 BENT COURT",,"AK","99801","8885","Chugiak","UNITED STATES","PO BOX 671234",,"AK","99567",
"UNCLE LEROY'S COFFEE, LLC",1064743,"UNCLE LEROY'S COFFEE, LLC","Active",1/7/2018 2:07:51 PM,1/28/2026,12/31/2026,"No","ANCHORAGE","UNITED STATES","3309 Spenard Rd.",,"AK","99503",,"ANCHORAGE","UNITED STATES","3309 Spenard Rd.",,"AK","99503",
"SMART TRADING, INC.",1064747,"MR ROCK & ROLL","Active",1/7/2018 3:18:30 PM,1/12/2026,12/31/2027,"No","FAIRBANKS","UNITED STATES","1616 S Cushman St. G",,"AK","99701",,"Fairbanks","UNITED STATES","1616 S Cushman St.","G","AK","99701",
"ALYESKA RESCUE & TRAINING SERVICES, LLC",1064748,"ALYESKA RESCUE & TRAINING SERVICES, LLC","Active",1/7/2018 3:24:37 PM,12/10/2025,12/31/2027,"No","ANCHORAGE","UNITED STATES","3400 Spenard Rd","Suite 205","AK","99503",,"ANCHORAGE","UNITED STATES","11831 PORTAGE CIRCLE","11831 PORTAGE CIRCLE","AK","99515","1831"
"GARY  GREEN",1064755,"ALASKA'S FLYING COWBOY","Active",1/7/2018 5:48:15 PM,3/15/2025,12/31/2026,"No","McCarthy","UNITED STATES","moraine ridge, Box MXY # 16","9075541747","AK","99588","5440","MCCARTHY","UNITED STATES","MXY 16","9075544440","AK","99588","9440"
"ICU MEDICAL SALES, INC.",1064768,"ICU MEDICAL SALES, INC.","Active",1/8/2018 10:30:12 AM,1/2/2025,12/31/2026,"No","San Clemente","UNITED STATES","951 Calle Amanecer","9493663528","CA","92673",,"SAN CLEMENTE","UNITED STATES","951 CALLE AMANECER",,"CA","92673",
"BLACK SPRUCE BREWING COMPANY, LLC",1064770,"BLACK SPRUCE BREWING COMPANY","Active",1/8/2018 10:53:29 AM,10/8/2025,12/31/2027,"No","FAIRBANKS","UNITED STATES","3290 PEGER RD STE B",,"AK","99709",,"FAIRBANKS","UNITED STATES","3290 PEGER RD STE B",,"AK","99709",
"MUNTERS CORPORATION",1064771,"MUNTERS CORPORATION","Active",12/27/2017,12/30/2025,12/31/2026,"No","AMESBURY","UNITED STATES","14 SOUTH HUNT ROAD","7814265238","MA","01913",,"AMESBURY","UNITED STATES","14 SOUTH HUNT ROAD",,"MA","01913",
"SQUARE MOUNTAIN MANAGEMENT CORP.",1064776,"SQUARE MOUNTAIN MANAGEMENT CORP","Active",1/8/2018 11:24:34 AM,11/12/2024,12/31/2026,"No","ANCHORAGE","UNITED STATES","205 E DIMOND BLVD # 501",,"AK","99515",,"ANCHORAGE","UNITED STATES","205 E DIMOND BLVD # 501",,"AK","99515",
"ALASKA OUTDOOR EXPOSURE, LLC",1064781,"DIVE ALASKA","Active",1/8/2018 12:57:37 PM,10/4/2025,12/31/2027,"No","ANCHORAGE","UNITED STATES","7100 OLD SEWARD HWY STE A",,"AK","99518",,"ANCHORAGE","UNITED STATES","7100 OLD SEWARD HWY","STE A","AK","99518",
"STEVEN  GREENING",1064790,"STEVE'S CANTWELL BBQ & DELI","Active",1/8/2018 1:39:59 PM,12/15/2025,12/31/2027,"No","CANTWELL","UNITED STATES","Post 210",,"AK","99729","9881","CANTWELL","UNITED STATES","PO Box 44",,"AK","99729","9881"
"ROSE CAPITAL, INC.",1064799,"DENALI REAL ESTATE","Active",1/8/2018,2/11/2026,12/31/2027,"No","ANCHORAGE","UNITED STATES","3705 Arctic Blvd","#200","AK","99503",,"ANCHORAGE","UNITED STATES","3705 Arctic Blvd","#200","AK","99503",
"GREAT BASIN AVIATION, LLC",1064800,"TRACY VREM'S BLUE MOUNTAIN LODGE","Active",1/8/2018 3:16:16 PM,12/4/2025,12/31/2027,"No","Girdwood","UNITED STATES","146 Iris Pond Circle",,"AK","99587",,"EAGLE RIVER","UNITED STATES","P.O. BOX 771838",,"AK","99577","1838"
"SAMANI FISHERIES, LLC",1064804,"SAMANI FISHERIES, LLC","Active",1/8/2018 3:39:37 PM,12/30/2024,12/31/2026,"No","Cordova","UNITED STATES","514 sunnyside drive","9073603456","AK","99574","3456","CORDOVA","UNITED STATES","BOX 615",,"AK","99574","9456"
"CHARLES  BISHOP",1064818,"SOURDOUGH'S TAXIDERMY ART","Active",1/8/2018 7:01:56 PM,12/8/2025,12/31/2026,"No","WASILLA","UNITED STATES","2325 E GRIZZLY BEAR DR","9073556433","AK","99654","2723","WASILLA","UNITED STATES","2325 E GRIZZLY BEAR DR",,"AK","99654","2723"
"MEEHAN  ANDREW",1064832,"ALASKA ACTIVATION SPORTFISHING","Active",1/9/2018 4:08:01 AM,1/6/2026,12/31/2027,"No","KETCHIKAN","UNITED STATES","949 west Sesame Street ",,"AK","99901",,"Ketchikan","UNITED STATES","949 w sesame street ",,"AK","99901",
"ATC GROUP SERVICES LLC",1064835,"ATC GROUP SERVICES LLC","Active",1/9/2018 7:10:53 AM,10/28/2024,12/31/2026,"No","LAFAYETTE","UNITED STATES","5750 JOHNSTON ST., SUITE 400",,"LA","70503",,"LAFAYETTE","UNITED STATES","5750 JOHNSTON ST., SUITE 400",,"LA","70503",
"D'SHAYNNA  ANDERSON",1064837,"TIMBERBERRY COTTAGE","Active",1/9/2018,11/21/2024,12/31/2026,"No","Healy","UNITED STATES","Mile 249 Parks Highway","Mile 249 Parks Highway","AK","99743",,"HEALY","UNITED STATES","P.O. BOX 70",,"AK","99743",
"SHANNON  DAILEY",1064839,"SHANNON C. DAILEY","Active",12/27/2017,11/26/2024,12/31/2026,"No","SITKA","UNITED STATES","228 HARBOR DR",,"AK","99835",,"SITKA","UNITED STATES","228 HARBOR DR",,"AK","99835",
"WARREN, LLC",1064840,"WARREN LLC","Active",1/9/2018 9:40:27 AM,10/23/2025,12/31/2027,"No","Homer","UNITED STATES","4390 homer spit rd",,"AK","99603","2581","Homer","UNITED STATES","Po Box 2581",,"AK","99603","2581"
"SUSAN  JONES",1064842,"SUSAN A. JONES","Active",12/28/2017,10/21/2025,12/31/2027,"No","Sitka","UNITED STATES","228 Harbor Drive",,"AK","99835",,"Sitka","UNITED STATES","228 Harbor Drive",,"AK","99835",
"KACHEMAK SHELLFISH GROWERS COOPERATIVE, INC.",1064849,"KACHEMAK SHELLFISH GROWERS COOPERATIVE INC","Active",1/9/2018 10:37:43 AM,11/8/2025,12/31/2027,"No","HOMER","UNITED STATES","3851 HOMER SPIT RD",,"AK","99603",,"HOMER","UNITED STATES","P.O. BOX 416",,"AK","99603","0416"
"ROMAN  STEPHAN",1064850,"ROMAN G. STEPHAN","Active",1/9/2018 10:48:07 AM,1/26/2026,12/31/2026,"No","Anchorage","UNITED STATES","4600 Sydney Park Circle","9072425340","AK","99516",,"ANCHORAGE","UNITED STATES","3801 centerpoint drive suite 200",,"AK","99503",
"DEBBIE MOORE REALTOR INC",1064851,"DEBBIE MOORE REALTOR INC","Active",1/9/2018,10/10/2025,12/31/2027,"No","ANCHORAGE","UNITED STATES","4743 SYDNEY PARK CR",,"AK","99516",,"ANCHORAGE","UNITED STATES","4743 SYDNEY PARK CR",,"AK","99516",
"THIBODEAU'S MARKET, INC.",1064854,"PERCY'S LIQUOR STORE","Active",1/9/2018,11/7/2024,12/31/2026,"No","JUNEAU","UNITED STATES","214 FRONT STREET","`","AK","99801",,"JUNEAU","UNITED STATES","PO BOX 20290",,"AK","99802",
"MARY  HUTCHINS",1064861,"MRE CLOSER","Active",12/28/2017,10/7/2025,12/31/2027,"No","WASILLA","UNITED STATES","2175 N DEBRA CIR",,"AK","99654",,"WASILLA","UNITED STATES","2175 N DEBRA CIR",,"AK","99654",
"DEBORAH  MCFARLAND",1064864,"ANCHOR RIVER SIGNS","Active",1/9/2018 12:40:45 PM,10/4/2025,12/31/2026,"No","ANCHOR POINT","UNITED STATES","34160 HMS Resolution Rd","PO Box 94","AK","99556","0094","ANCHOR POINT","UNITED STATES","PO BOX 94","PO Box 94","AK","99556","0094"
"DONALD WRAY",1064867,"MICA GUIDES","Active",1/9/2018 12:45:02 PM,12/18/2025,12/31/2027,"No","SUTTON","UNITED STATES","31090 W. GLENN HWY","200 W. 34th Ave. #82","AK","99674",,"ANCHORAGE","UNITED STATES","200 W. 34TH AVE. #82","200 W. 34th Ave. #82","AK","99503",
"WANDERING RN, LLC",1064884,"WANDERING RN, LLC","Active",1/9/2018 2:36:17 PM,10/19/2025,12/31/2027,"No","ANCHORAGE","UNITED STATES","3601 RASPBERRY ROAD","NO. 4D","AK","99502",,"ANCHORAGE","UNITED STATES","3601 RASPBERRY ROAD","NO. 4D","AK","99502",
"DENISE  BURNEY",1064885,"BURNEY REAL ESTATE","Active",1/9/2018 2:40:48 PM,11/26/2024,12/31/2026,"No","Wasilla","UNITED STATES","1174 N Leatherleaf Loop, Suite A","9074142944","AK","99654",,"WASILLA","UNITED STATES","3285 Wintergreen Drive",,"AK","99623",
"DENSANA AK, LLC",1064893,"DENSANA AK, LLC","Active",1/9/2018 3:11:20 PM,10/8/2025,12/31/2027,"No","ANCHORAGE","UNITED STATES","744 E13TH AVE",,"AK","99501","9116","ANCHORAGE","UNITED STATES","744 E 13TH AVE",,"AK","99501","9116"
"SUSAN HEVERLING",1064894,"SUSAN HEVERLING, MD","Active",1/9/2018,10/14/2024,12/31/2026,"Yes","anchorage","UNITED STATES","1200 airport heights drive, suite 305",,"AK","99508",,"ANCHORAGE","UNITED STATES","1200 AIRPORT HEIGHTS DR STE 305",,"AK","99508",
"COMPASS LAND GROUP LIMITED LIABILITY COMPANY",1064895,"COMPASS LAND GROUP LIMITED LIABILITY COMPANY","Active",1/9/2018 3:22:56 PM,1/13/2026,12/31/2027,"No","Anchorage","UNITED STATES","1950 Dolly Varden Cir","9073170898","AK","99516",,"ANCHORAGE","UNITED STATES","1950 DOLLY VARDEN CIRCLE",,"AK","99516",
"CAPE FOX TOURS, LLC",1064897,"CAPE FOX TOURS, LLC","Active",1/9/2018 3:28:17 PM,12/9/2025,12/31/2027,"No","KETCHIKAN","UNITED STATES","2851 S TONGASS HWY",,"AK","99901",,"KETCHIKAN","UNITED STATES","PO BOX 8558",,"AK","99901",
"INTERIOR CARE COORDINATION L.L.C.",1064900,"INTERIOR CARE COORDINATION L.L.C.","Active",1/9/2018 3:43:46 PM,11/29/2025,12/31/2027,"No","SALCHA","UNITED STATES","5170 SUNDOWN TRAIL",,"AK","99714",,"SALCHA","UNITED STATES","5170 SUNDOWN TRAIL",,"AK","99714",
"AMERICAN CREDIT BUREAU, INC.",1064901,"AMERICAN CREDIT BUREAU, INC.","Active",12/26/2017,12/31/2025,12/31/2027,"No","BOYNTON BEACH","UNITED STATES","6969 Caviro Lane","Suite 200","FL","33437",,"BOYNTON BEACH","UNITED STATES","PO BOX 740884",,"FL","33474",
"NEW WORLD TRAVEL, INC.",1064912,"NEW WORLD TRAVEL, INC","Active",1/9/2018,11/12/2025,12/31/2027,"No","ANCHORAGE","UNITED STATES","401 E NORTHERN LIGHTS BLVD #204",,"AK","99503",,"ANCHORAGE","UNITED STATES","401 EAST NORTHERN LIGHTS BLVD #204",,"AK","99503",
"DANI LLC",1064914,"DANI LLC","Active",1/9/2018 5:20:01 PM,12/30/2025,12/31/2027,"No","ANCHORAGE","UNITED STATES","9521 SPRING HILL DRIVE",,"AK","99507",,"ANCHORAGE","UNITED STATES","9521 SPRING HILL DRIVE",,"AK","99507",
"JUANITA SCOTT-GONZALEZ",1064917,"ALL 4 YOU ASSISTED LIVING","Active",1/9/2018 6:09:44 PM,11/7/2025,12/31/2027,"No","Eagle River ","UNITED STATES","11415 Aurora Street","9072687122","AK","99577",,"ANCHORAGE","UNITED STATES","3705 ARCTIC BLVD","1674","AK","99503",
"GRATEFUL BUD LLC",1064927,"GRATEFUL BUD LLC","Active",1/9/2018 9:19:38 PM,1/15/2026,12/31/2026,"No","KENAI","UNITED STATES","1817 SUNSET BLVD",,"AK","99611",,"KENAI","UNITED STATES","1817 SUNSET BLVD",,"AK","99611",
"RESTANGLES, LLC",1064931,"RESTANGLES, LLC","Active",1/9/2018,10/13/2025,12/31/2027,"No","Cooper Landing","UNITED STATES","17198 Frontier Circle",,"AK","99572",,"Cooper Landing","UNITED STATES","PO Box 878",,"AK","99572",
"RELATION INSURANCE, INC.",1064943,"RELATION INSURANCE SERVICES OF GEORGIA","Active",1/10/2018 9:37:24 AM,11/13/2025,12/31/2026,"No","Peachtree Corners","UNITED STATES","3930 E Jones Bridge Rd","Ste 210","GA","30092",,"Overland Park","UNITED STATES","10950 Grandview Dr,","Ste. 300","KS","66210",
"RELATION INSURANCE SERVICES, INC.",1064950,"PAN AMERICAN INSURANCE SERVICES","Active",1/10/2018 10:17:11 AM,11/13/2025,12/31/2026,"No","Pleasant Hill","UNITED STATES","2300 Contra Costa Blvd","Suite 525","CA","94523",,"Overland Park","UNITED STATES","10950 Grandview Dr,","Ste. 300","KS","66210",
"BIORKA PROFESSIONAL CENTER, LLC",1064955,"BIORKA PROFESSIONAL CENTER, LLC","Active",1/10/2018 10:58:18 AM,12/30/2025,12/31/2027,"No","SITKA","UNITED STATES","329 HARBOR DRIVE",,"AK","99835",,"SITKA","UNITED STATES","329 Harbor Drive","Suite 201","AK","99835",
"FULL TILT MECHANICAL & CONSTRUCTION LLC",1064956,"FULL TILT MECHANICAL & CONSTRUCTION LLC","Active",1/9/2018,12/4/2024,12/31/2026,"No","FAIRBANKS","UNITED STATES","2353 NUSSBAUMER ST",,"AK","99709",,"FAIRBANKS","UNITED STATES","2353 NUSSBAUMER ST",,"AK","99709",
"EARLEEN LLOYD",1064960,"ALASKAN HEARTH & HOME","Active",1/10/2018 11:49:39 AM,11/12/2024,12/31/2026,"No","Kenai","UNITED STATES","47415A Grant Avenue ",,"AK","99611",,"Kenai","UNITED STATES","47415A Grant Avenue ",,"AK","99611",
"BERNADINE BERSON",1064967,"TINKER'S RAIN FOREST DELI","Active",1/10/2018 12:35:24 PM,1/9/2026,12/31/2026,"No","EAGLE RIVER","UNITED STATES","12812 OLD GLENN WHY #6",,"AK","99577",,"EAGLE RIVER","UNITED STATES","12812 OLD GLENN HWY #6",,"AK","99577",
"FARRELL AIRCRAFT LLC",1064969,"FARRELL AIRCRAFT LLC","Active",1/10/2018 12:57:38 PM,12/26/2024,12/31/2026,"No","STERLING","UNITED STATES","37472 DUTCH LANDING LOOP",,"AK","99672",,"Sterling","UNITED STATES","37472 Dutch Landing Loop",,"AK","99672",
"MATTHEW  KRESS",1064970,"SERENDIPITY SUPPER CLUB","Active",1/10/2018 1:26:10 PM,10/14/2025,12/31/2027,"No","VALDEZ, AK","UNITED STATES","hc-1 box 95","MILE 46 RICHARDSON HIGHWAY","AK","99686",,"VALDEZ","UNITED STATES","P.O. BOX 2526",,"AK","99686","2526"
"MIKE'S WELDING & FABRICATION, LLC",1064991,"MIKE'S WELDING & FABRICATION, LLC","Active",1/10/2018 3:51:42 PM,2/5/2026,12/31/2027,"No","WASILLA","UNITED STATES","1281 W GLENKERRY DRIVE",,"AK","99654",,"WASILLA","UNITED STATES","1281 W GLENKERRY DRIVE",,"AK","99654",
"BUTTRICK AND SONERHOLM LLC",1065001,"BUTTRICK AND SONERHOLM LLC","Active",1/10/2018 6:16:37 PM,12/30/2024,12/31/2026,"No","ANCHORAGE","UNITED STATES","6330 Quiet Circle","9078304996","AK","99502",,"ANCHORAGE","UNITED STATES","6330 QUIET CIR",,"AK","99502",
"APPLE NINE HOSPITALITY MANAGEMENT, INC.",1065019,"HOME2 SUITES BY HILTON ANCHORAGE/MIDTOWN","Active",1/11/2018,10/10/2025,12/31/2026,"No","Anchorage","UNITED STATES","4700 Union Square Dr",,"AK","99503",,"Kent ","UNITED STATES","20415 72nd Ave S #120",,"WA","98032",
"LISA  IKONOMOV",1065026,"IKONIC COMMUNICATIONS","Active",1/11/2018 10:12:08 AM,11/20/2024,12/31/2026,"No","ANCHORAGE","UNITED STATES","2808 MORGAN LOOP",,"AK","99516",,"ANCHORAGE","UNITED STATES","2808 MORGAN LOOP",,"AK","99516",
"ALASKA COMPUTER GUY INC",1065028,"ALASKA COMPUTER GUY INC","Active",1/11/2018 10:31:57 AM,10/4/2025,12/31/2027,"No","ANCHORAGE","UNITED STATES","7500 BLACKBERRY ST",,"AK","99502",,"ANCHORAGE","UNITED STATES","7500 BLACKBERRY ST",,"AK","99502",
"HAS INVESTMENTS, LLC",1065035,"HAS INVESTMENTS, LLC","Active",1/11/2018 11:04:58 AM,10/11/2025,12/31/2027,"No","Homer","UNITED STATES","814 W. Tasmania Court",,"AK","99603",,"Homer","UNITED STATES","P.O. Box 149",,"AK","99603",
